gene_id,D1,D3,Z3,Z1,Z2,MS1,D7,D9,ZH2,D4,D5,D6
ENSMUSG00000001833,1821,1488,800,1840,1768,2259,1784,1796,1833,1875,1671,1593
ENSMUSG00000001844,884,800,488,676,381,849,682,756,656,503,483,540
ENSMUSG00000001847,11059,11319,5441,11105,7132,12788,10387,11297,11258,8146,10048,8729
ENSMUSG00000001855,692,630,366,751,550,1046,740,571,708,616,863,718
ENSMUSG00000001864,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000001865,1,0,0,1,0,4,0,2,4,3,11,2
ENSMUSG00000001870,0,0,0,3,6,8,0,0,0,2,2,1
ENSMUSG00000001891,3855,3499,1502,3660,3105,4357,3694,3225,4175,3816,3354,3593
ENSMUSG00000001901,91,49,45,73,74,150,94,65,63,36,49,51
ENSMUSG00000001909,1633,1288,908,1163,441,1067,1301,1250,1068,828,1009,862
ENSMUSG00000001910,3839,2783,1938,2738,1896,3117,2595,2763,3578,2158,2788,2567
ENSMUSG00000001911,1304,1001,898,1302,816,1134,838,775,1120,628,896,726
ENSMUSG00000001918,8065,5735,4620,5114,3254,4743,5181,6103,6108,4333,5187,5109
ENSMUSG00000001924,8391,7764,3004,8590,5225,9763,8410,7300,9724,6233,8104,6955
ENSMUSG00000001930,126,100,81,76,52,135,84,126,115,89,106,106
ENSMUSG00000001942,473,377,175,639,424,499,387,262,425,330,341,355
